;;Цены и размещение на витрине;;;;;;;;;;Данные для рекомендаций о пополнении товаров на складе (только для FBS и FBY);;;;;;Условия продажи и доставки (только для DBS);;;;;;Основная цена (заполняется автоматически);
Ошибки;Предупреждения;Ваш SKU *;Название товара;Цена в магазине;Цена до скидки;Остаток;Ставка НДС;Скрыть с витрины;Минимальное число товаров в заказе;Квант продажи;Ссылка на страницу товара на вашем сайте;Планы по поставкам;Количество товаров в упаковке, шт.;Минимальная партия поставки, шт.;Добавочная партия, шт.;Дни поставки;Срок поставки, дни;Условия продажи;Товар в наличии;Доставка;Срок доставки;Самовывоз;Срок самовывоза;Основная цена;Основная цена до скидки
Заполняется автоматически. Здесь будет перечислен список ошибок для каждого товара после того, как вы загрузите шаблон в систему;Заполняется автоматически. Здесь будет перечислен список предупреждений для каждого товара после того, как вы загрузите шаблон в систему;Уникальный идентификатор товара;По схеме: тип товара + бренд или производитель + модель + отличительные характеристики;Если используете основную цену, не заполняйте поле. Значение в рублях;Если используете основную цену, не заполняйте поле. Значение в рублях;Общее количество товара, доступное для продажи на маркетплейсе и зарезервированное под заказы. Заполняйте, если в личном кабинете вы передаете данные об остатках (модель FBY+) или обрабатываете заказы (модель FBS). Если товара нет, укажите 0;"Не указывайте НДС в процентах. Для ставки 20% выберите значение 7 или VAT_20; для ставки 10% — 2 или VAT_10; для ставки 0% — 5 или VAT_0; если НДС не облагается — 6 или NO_VAT";Укажите Да, чтобы приостановить размещение товара на Маркете. Если оставить поле пустым, товар может продаваться.;Используйте, если вы хотите ограничить минимальное количество единиц товара для заказа. Если ограничений нет, оставьте поле пустым. Минимальное значение равно 1, максимальное – 30.;Если число товаров в заказе можно увеличить только на определённое число (например, к 4 шинам можно прибавить не меньше 4), напишите здесь размер шага. Если ограничений нет, оставьте поле пустым. Минимальное значение равно 1, максимальное – 30.;URL-ссылка на страницу товара на вашем сайте;Если оставить поле пустым, будет действовать вариант из предыдущей версии каталога или указанный на странице товара в личном кабинете;Кратность короба — то есть число товаров в упаковке. Поле используется, если вы поставляете товар упаковками, а продаете поштучно;Минимальное количество товаров, которое вы готовы привозить на склад;Квант поставки — то есть число товаров, которое можно добавлять к минимальной партии;Дни недели, когда вы готовы поставлять товары на склад маркетплейса;За какое время вы поставите товар на склад (в днях);Здесь можно рассказать о дополнительных услугах.;"«Да» — товар есть в наличии или будет готов на заказ.
«Нет» — товара нет в наличии:
• Для модели DBS товар не будет отображаться на Маркете. 
Если оставите поле пустым, будет считаться, что товар есть в наличии.";"Возможность курьерской доставки по региону магазина. Если оставить поле пустым, будет считаться, что доставка есть.
Примечание. Доставка в другие регионы настраивается в личном кабинете.";"Срок курьерской доставки товара по региону магазина.
Если поле не используется, срок доставки должен быть настроен в личном кабинете.";"Возможность самовывоза из пунктов выдачи. Если оставить поле пустым, будет считаться, что самовывоз есть.
Условия самовывоза в деталях (регионы, тарифы, сроки и т. п.) настраиваются в личном кабинете.";По региону магазина. Можно указать в этом поле или настроить в личном кабинете.;Заполняется автоматически. По умолчанию применяется для всех ваших магазинов, если вы не назначите цену для конкретного магазина.;Заполняется автоматически. По умолчанию применяется для всех ваших магазинов, если вы не назначите цену для конкретного магазина.
;;10220333;"ОПОП 1-8М 12В ""Выход""";;;4;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;324;365
;;1062951;"бисш""Север"" Барьер искрозащиты";;;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;7995;8432
;;112223;Светильник SL-30;;;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1185;1303
;;112233;Евровилка прямая белая 16А;;;17;VAT_20;;6;;;Поставки будут;;;;;;;;;;;;80;120
;;113355;Журнал контроля за состоянием охраны труда и противопожарной безопасности;;;2;VAT_20;;6;;;Поставки будут;;;;;;;;;;;;70;105
;;122334;Сатро-5 PAL (медь) козырек;;;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;400;600
;;1234;HiWatch DS-T110 (2.8);;;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2290;5000
;;123416;ARTOL-3   229 (датчик);200;269;6;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;;
